Poligono_real,Hectárea,#_plantas,Poligono-color,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,,,,,,,,,,
1,5.4,700,1,32,223,32,32,64,64,63,64,95,31,,,,,,,,,,
5,7.56,1104,2,50,352,50,50,100,100,100,101,151,50,,,,,,,,,,
4,8,1128,3,51,359,52,51,102,102,103,103,154,51,,,,,,,,,,
3,8,1176,4,53,374,54,54,107,107,107,107,160,53,,,,,,,,,,
2,7.52,1003,5,45,319,46,46,91,92,91,91,137,45,,,,,,,,,,
6,4.19,577,6,26,184,26,26,52,52,53,53,79,26,,,,,,,,,,
12,1.47,211,7,9,67,10,10,19,20,19,19,29,9,0.093658537,,,,,,,,,
11,7.67,1111,8,50,354,51,51,101,101,101,101,151,50,0.520325203,,,,,,,,,
10,8,1128,9,51,359,52,51,102,102,103,103,154,51,0.530731707,,,,,,,,,
9,8,1176,10,53,374,54,54,107,107,107,107,160,53,0.365062241,,,,,,,,,
8,7.6,1003,11,45,319,46,46,91,92,91,91,137,45,0.468292683,,,,,,,,,
7,6.28,849,12,38,270,39,39,77,78,77,77,116,38,0.261742739,,,,,,,,,
15,5.4,752,13,34,240,34,34,68,68,68,69,103,34,0.353821138,,,,,,,,,
14,5.98,862,16,39,275,39,39,78,78,78,79,118,39,0.268630705,,,,,,,,,
31,7.34,992,15,45,316,45,45,90,90,90,90,136,45,0.468292683,,,,,,,,,
13,7.97,1142,14,54,363,52,52,104,104,103,104,155,51,0.371950207,,,,,,,,,
26,4.75,687,27,31,219,31,31,62,62,63,63,94,31,0.322601626,,,,,,,,,
25,5.05,702,26,32,224,32,32,64,64,63,64,95,32,0.220414938,,,,,,,,,
19,4.92,645,19,29,205,30,29,59,58,59,59,88,29,0.301788618,,,,,,,,,
16,5.64,756,17,34,241,35,34,69,68,69,69,103,34,0.234190871,,,,,,,,,
17,6.11,853,18,39,272,39,39,78,78,77,77,116,38,0.405853659,,,,,,,,,
18,7.06,1031,20,47,328,47,47,94,94,93,94,140,47,0.32373444,,,,,,,,,
24,5.64,803,21,36,256,37,37,73,73,73,73,109,36,0.374634146,,,,,,,,,
23,5.53,790,22,7,261,38,37,74,74,75,75,112,37,0.048215768,,,,,,,,,
22,7.82,1105,23,50,352,50,50,100,100,101,101,151,50,0.520325203,,,,,,,,,
21,8,1152,24,52,367,53,52,105,104,105,105,157,52,0.358174274,,,,,,,,,
20,1.38,147,25,6,47,7,7,14,14,13,13,20,6,0.062439024,,,,,,,,,
30,6.76,1081,28,49,344,49,49,98,98,98,99,148,49,0.337510373,,,,,,,,,
29,6.54,936,29,42,298,43,43,85,86,85,85,127,42,0.293461538,,,,,,,,,
28,6.64,964,30,44,307,44,44,88,88,87,88,131,43,0.303070539,,,,,,,,,
27,1.28,123,31,5,39,6,6,11,12,11,11,17,5,0.05203252,0.405853659,0.062439024,0.062439024,0.114471545,0.124878049,0.114471545,0.114471545,0.176910569,0.05203252
,,26689,10.6756,,,,,,,,,,,,,,,,,,,,
,,693914,53378,533780,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.006987179,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,715.5963303,,,,,,,,,